,term_name,rank,p_value,z_score,combined_score,adj_p_value,genes,n_genes,db,significant,sample_id,direction
7728,foxa1 21915096 chip-seq lncap-1f5 human,191,0.006663766704056544,1.3011413974843988,6.520111121192309,0.026341067338024556,"ABTB1,ADAM8,ADAM9,ADIPOQ,AGTRAP,ANGPTL3,ANXA1,ANXA2,AP1S3,ARHGAP5,ASAH1,ATP1B1,ATP2A3,B3GALT6,CAMK1,CD93,CEBPB,CEBPD,CHST3,CLGN,CLPB,CYTL1,DCUN1D3,DHCR24,DHRS3,DHRS9,DLX1,DNAJC25,DNAJC5,ECH1,ENAH,EPC1,FAAH,FAM43A,FDFT1,FGB,FGL2,FRY,FURIN,GNAI1,GOLM1,GPX3,HABP2,HERPUD1,HEXA,HGSNAT,IGF1,IL1RAP,JARID2,KDM5B,KLKB1,KRT18,LECT2,LGALS3,LPCAT3,LYZ,MB,MMP2,MRS2,MYADM,NADK,NDUFS2,NINJ1,NIPSNAP3B,NOS1AP,NR2F2,NT5DC3,NUP210,OTOR,PAX6,PDIA3,PDIA5,PIGT,PLD1,PLXNC1,POU3F2,PTGS1,QSOX1,RAB20,RAB33A,RAB7A,RAP1B,RFT1,RHOT1,RILP,RPN2,S100A13,S100P,SEC11C,SEL1L,SERINC5,SERPINA1,SERPINA7,SERPIND1,SGPP1,SLC17A5,SLC20A1,SLC7A2,SMPDL3A,SORT1,SPINT1,STX3,SURF4,SYNJ2,SYVN1,TF,THBS1,THBS4,TMCO3,TMED3,TMEM205,TOR1AIP1,UTRN,YIPF4,ZBTB7B,ZDHHC2",116,ChEA_2022,True,D_only,up
7729,gata2 20887958 chip-seq hpc-7 mouse,192,0.006717176556752128,1.3338289681764628,6.673262861732452,0.026413897397645086,"ADPGK,ANTXR2,APOE,ARSA,ATP13A1,ATP1A2,ATP1B1,ATP2A3,ATP6V0A2,B3GALT6,BRMS1L,CAMK1,CANX,CBFA2T3,CCL5,CD300LF,CD63,CD84,CEBPE,CREG1,DAD1,DHRS3,EDEM1,EGFL7,ENG,EPHB2,ESYT1,FBLN1,FBP1,FES,FSTL1,FURIN,GALNT2,GATA2,GGT1,GNAQ,GNAZ,GPA33,GRAMD4,GSN,HEXA,HGFAC,HOMER3,HSPA13,HSPA5,IGFBP4,ITGB7,KRT18,LGALS3,LPCAT2,LRRC25,MFAP4,MGST2,MLYCD,MPO,MSRB3,MYH3,NCF2,NDUFS2,NEU1,NINJ1,NOMO1,NT5DC3,ORM1,P2RX1,P2RX7,PAX6,PFN3,PLCXD1,PLG,PML,PRCP,PRDM11,PRNP,PTGS1,PTTG1IP,RAB11FIP3,RAB20,RALB,RASGRP2,RNF130,RNFT1,S100A4,SCAMP5,SEC11A,SERPIND1,SH2D3C,ST3GAL2,SYTL1,TMCO1,TMEM143,TMOD2,TNFSF14,TOR1AIP2,TPST2,ZDHHC2",96,ChEA_2022,True,D_only,up
7730,tcfap2c 20176728 chip-chip trophoblast stem cells mouse,193,0.006823805998591882,1.2746299517129949,6.357010264712233,0.02669416336236721,"ABCC10,ADAM10,ADPGK,ALG14,ANXA2,ANXA5,APOE,ATP6V0A1,B3GALNT2,BARX1,BCL2L11,BRMS1L,CANX,CCPG1,CEBPG,CHI3L1,CHST12,CIB1,COX6A1,CPN1,CPT1A,CREG1,CRELD2,CS,CTSO,DAD1,DAG1,DDAH1,DERL2,DPAGT1,DYSF,ECH1,EDEM1,ERGIC2,ERN1,EXT1,EXT2,FADS2,FDFT1,FN1,FUCA1,GALC,GALNT10,GNAI2,GNAQ,GNG7,GOSR2,GRN,HAX1,HBEGF,HIC2,HIGD2A,IGFBP5,IMMT,ITPR1,JARID2,JPH1,KIF21A,KRT18,KRT8,LGALS3,LIN28B,LITAF,LRP1,LRRC8B,LRRC8D,MAN2A2,MARCKS,MGRN1,MSRB3,MYH10,MYL2,MYO1G,NEDD8,NIPA1,NNT,NRP2,NUP210,ONECUT2,P2RX4,PAX6,PCDHGC3,PCOLCE,PCYOX1L,PIGT,PLEKHF1,PLP2,PML,PNKD,PPARD,PRCP,PSPC1,PTDSS2,PTPRE,PTTG1IP,RAB20,RAB31,RAB5B,RBM39,RBP4,REEP6,RER1,RFX3,RNASE4,S100A13,SCCPDH,SDF2L1,SDHD,SEMA4B,SFXN5,SLC25A11,SLC25A20,SLC25A35,SLC26A2,SLC38A2,SLC3A2,SLC44A1,SORL1,STT3B,STX3,TGFBR1,THBD,THBS4,TK2,TLR2,TM9SF2,TMEM109,TMEM143,TOMM40,TPST2,TRABD,TSPO,UTRN,VEGFA,XPC,YIPF4,ZDHHC17",137,ChEA_2022,True,D_only,up
7731,gata4 21415370 chip-seq hl-1 mouse,194,0.007086188009289989,1.3251212415130942,6.558830353950465,0.027577690448525472,"ABHD13,ABTB1,ADCK5,ALG2,ARHGAP5,ASAH1,ATP2A2,ATP6V0A1,BAIAP2L1,BAZ1B,BMF,BRI3BP,BRMS1L,CD180,CLPTM1L,COX6A1,CPM,CPT1A,CREG1,CROT,CST3,CTSA,CYBRD1,DAG1,DHRS3,DPAGT1,DTD1,DYSF,EXT2,FLYWCH1,FNDC3B,FOSL2,FUCA2,GAS6,HADHA,HERPUD1,HIC2,ICAM4,IGF1,IGFBP4,IGFBP5,IL4I1,IMMT,ITGB2,JPH2,LONP1,LRRC8D,MAN2A2,MTHFD2,NFXL1,NINJ1,NLRX1,NOMO1,NRP2,NUCB1,OCIAD2,P2RX7,P4HB,PCGF3,PIGX,PON2,PSPC1,PTDSS2,PTP4A3,RALB,RELB,RHOT1,RILP,SCNM1,SCRG1,SEC61A1,SFXN5,SLC25A4,SLC33A1,SLC35A1,SLC35B2,SLC43A3,SLC7A1,SMPD1,SPA17,SSR1,STIM2,STX11,SYNJ2,TDRD7,THBS1,THEM4,TK2,TMED2,TMEM143,TMEM38B,TMEM41A,TMOD2,TPP1,TSPAN13,UTRN,VKORC1,YIPF2,ZDHHC2",99,ChEA_2022,True,D_only,up
7732,ubf1/2 26484160 chip-seq hmecs human,195,0.007298167976845418,1.2993307086614174,6.392878500038332,0.028257009346247645,"ABCC10,ACSS2,ACY3,ADAM10,ADAMTSL4,AGTRAP,AHSG,ANPEP,ANXA5,APOH,ARL8A,ARSA,ATP1B1,ATP2A2,B3GALNT2,BAZ1A,BRMS1L,C3,CD109,CD300A,CEBPB,CHST11,CHST14,CHST3,CKAP4,CKB,CMPK2,CNIH4,COL1A1,CTSD,CYBRD1,DHRS3,DPM3,ECHDC2,EDEM1,EMP3,ERN1,FADS2,FAM43A,FGF2,FN1,FNDC3B,FOSL2,FURIN,GALNT1,GALNT2,GALNT7,GAS6,GATA2,GNA15,GPD2,HERPUD1,HRAS,HSP90B1,IER3IP1,IRS2,KDM5B,LITAF,LMNA,LRRC8C,MARCKS,MMP14,MTCH2,MXRA8,NADK,NCF4,NDST2,NDUFB10,NDUFS2,NDUFS7,NR2F2,NRP1,PAX6,PDK2,PLAUR,PLCXD1,PROS1,PSPC1,PTPRJ,PTTG1IP,QSOX1,RAB11FIP3,RAB20,RAB5B,REEP6,RTN4,S100A4,SCNM1,SDHD,SERINC5,SERPINF2,SHISA2,SLC20A1,SLC25A11,SLC33A1,SLC38A2,SLC7A1,STIM2,STT3A,TFAP2A,TLR2,TM7SF2,TMCO3,TMX4,TNFAIP2,TNFSF14,TNFSF9,TOR1AIP1,TOR3A,TSPAN14,UTRN,VEGFA,WDFY2,ZNF646",114,ChEA_2022,True,D_only,up
7733,gata1 19941827 chip-seq mel86 mouse,196,0.007395387424439213,1.3075707919741588,6.416117542389447,0.028317341179057244,"ABHD12,ADAMTSL4,ADCY9,ADPGK,AFF3,ANXA3,ARHGAP5,ATP2A2,ATP2A3,BCL2L11,CALHM2,CBFA2T3,CCNYL1,CD82,CNIH4,COL2A1,CPD,CST7,CTSL,DNAJC15,ETFDH,FAAH,FABP1,FAP,FAR1,FAR2,FGR,FMO5,FMOD,FOSL2,GALC,GALNT10,GALNT2,GATA2,GC,GLB1,GNAQ,GNAZ,GPC3,GRN,GSN,GUSB,HCK,HGSNAT,HMGCR,ICAM1,IRS2,ITGB7,JAK2,LAMP1,LDHD,LIMD2,LITAF,LMAN2,LRPAP1,LY86,MAN2B1,MARCKS,MGST2,MRC2,MRPL33,MTCH2,NCF4,NCOA1,NDUFB9,NFE2,NOS1AP,NRP1,P2RX1,PADI4,PLG,PLXNC1,PRCP,PRG2,PTP4A3,PTPRJ,RAB11FIP3,RAP1B,RBP1,RNF130,ROPN1L,RPN1,RUNX3,SCAMP5,SEC61A1,SFXN5,SLA,SLC12A7,SLC2A3,SLC44A1,SLC7A1,ST8SIA4,STAR,STC2,STIM2,TGFBR1,TIMP2,TMC8,TMEM53,TNFAIP2,TNFAIP8,TOR1A,TOR1AIP2,TOR3A,TRPM2,UNCX,ZBTB7B,ZDHHC17",108,ChEA_2022,True,D_only,up
7734,sox9 24532713 chip-seq hfsc mouse,197,0.007407002537741632,1.3448094815936926,6.5967335376715575,0.028317341179057244,"ABHD12,ACSL3,ADAMTSL4,AFF3,AGRN,AIG1,ALDH4A1,ANXA2,ANXA5,ANXA8,APOE,APOOL,ATP2A2,ATP2A3,BAIAP2L1,BMF,CHST11,CHST12,CHST13,COLEC10,CORO2A,DERL2,DGAT1,DNAJC30,DNAJC5,ENAH,EXT1,FOSL2,FRY,GNAI2,GNAZ,GPC3,GPR84,GSN,HSPA13,HYOU1,IGFBP7,IGLL1,IL1RAP,KIF21A,LBH,LGALS3,LITAF,LMNA,LONP1,LPCAT2,LYRM1,MSRB2,MSRB3,NCEH1,NDUFS4,NRP1,OPLAH,PDIA4,PIGT,PIGU,PLD1,PON2,POSTN,PPTC7,PTPRE,RAB31,RAB5B,RAI14,RFX3,S100A4,SDHB,SEC11A,SERPINB10,SFXN5,SLC33A1,SLC3A2,SLC4A2,SLC7A1,SLCO4A1,SNX20,SPARC,ST3GAL2,SUN2,TFAP2A,TGFBR1,TIMP2,TOMM40,TOR3A,TPST2,UTRN,VKORC1L1,VLDLR",88,ChEA_2022,True,D_only,up
7735,gata3 26560356 chip-seq th2 human,198,0.0074262696072229595,1.301313274719228,6.379989736939658,0.028317341179057244,"A2M,ABCD2,ACSL3,ADAM8,AGTRAP,ANO10,ANPEP,ANXA6,ANXA8,APOC2,ATP13A3,ATP2A3,ATP6V0A2,B2M,BLZF1,C3,CD300A,CKM,CLPB,CMPK2,COL23A1,CRELD2,CSNK1G3,CSTA,DAD1,DDOST,DENND2D,DHCR24,DHRS3,DNAJA4,DNAJC5,ECH1,EDEM1,FAAH,FAM43A,FAR2,FCGR1A,FDFT1,FLYWCH1,GAS6,GNA15,GNAQ,GNS,GSN,GSTM3,HBEGF,HCK,HGSNAT,HIGD1A,HSD17B4,HSPA13,IL1RAP,IL3RA,ITGAM,ITGAX,KRT1,LAMP1,LBH,LILRB1,LIN28B,LPL,LRRC8B,MBOAT7,MGLL,MLEC,MYH10,NCF2,NCOA1,NFXL1,OAS2,OR1M1,ORMDL2,PADI4,PLEKHF1,PLP2,PNKD,PPP1R16B,PTPRC,PTTG1IP,RAB20,RAB37,RAB43,RFX3,RHBDD1,RNASE2,RNASE4,RTN4,RUNX3,S100P,SAG,SAMSN1,SCPEP1,SEC61A2,SHISA2,SLC2A3,SLC35A1,SLC38A2,SLC7A5,SLFN5,SNX20,SORL1,SPNS3,ST8SIA4,STX11,TBC1D10A,TECR,THEM4,TRABD,TUBB1,VNN1,ZDHHC4,ZNF770",112,ChEA_2022,True,D_only,up
7736,tp63 23658742 chip-seq ep156t human,199,0.007579544834446604,1.2266935021472285,5.9890882976016435,0.028756564572900434,"ACSL3,ACY3,ADAM8,ADCY9,AGPAT2,ALB,ALG10,ANTXR2,ANXA1,ANXA2,ARHGAP5,ARL8B,ASAH1,ATP1A2,ATP1B1,ATP2A2,ATRN,BARX1,BAZ1A,BRMS1L,C7,CD109,CD70,CD82,CD86,CD93,CEBPD,CEBPG,CHST11,CHST14,CHST3,CLEC3B,CLPTM1L,CMPK2,CNTN1,COL1A2,CORO2A,CP,CPD,CPM,CREG1,CSTA,CTSG,CTSO,CYBRD1,CYP51A1,DAD1,DAG1,DDX60L,DHRS9,DNAJC15,EDEM1,EFEMP1,EGFL7,EXOC6B,EXT1,F5,FABP7,FAM43A,FAR1,FBXL20,FCGR2A,FGD2,FGG,FN1,FOSL2,FTL,GALNT10,GALNT2,GALNT3,GBP5,GNAI1,GNAQ,GNS,GPD2,GRAMD4,GRN,HBEGF,HERPUD1,HGFAC,HGSNAT,HIGD2A,HLA-E,HMGCR,ICAM4,IGF1,IGFBP5,IRS2,ITGAM,ITIH4,JAK2,KIF21A,KLHL13,KRT1,KRT8,LAMP1,LAMP2,LBH,LDHD,LGALS3,LMNA,LRRC8C,LY86,MAP7,MFAP5,MGST2,MLC1,MMP14,MPEG1,MRC2,MYH3,MYL2,NCEH1,NCF4,NDUFS5,NFAM1,NPL,NRP1,NRP2,NT5DC3,OAS2,OCIAD2,OR1M1,ORM1,P2RX4,P2RY2,PAX6,PDIA5,PEX26,PLD1,PLD6,PLXNC1,PROS1,PTDSS2,PTPRE,RAB31,RAP1B,RAP2B,RBM39,RBP1,RFX3,RNF130,RP2,RPL3L,RTN4,RUNX3,SACM1L,SAMSN1,SCAMP5,SCPEP1,SEC61A1,SEL1L,SEMA4B,SERPINA1,SERPINC1,SERPINF1,SFXN5,SGPP1,SIRPA,SIRPB1,SIRPB2,SLC38A2,SLC44A1,SLC7A11,SNTB1,SOD3,SORL1,SPNS3,SPPL2A,SSR1,STC2,STIM2,STT3A,STT3B,SYNJ2,SYTL1,TFAP2A,TGFBI,TGFBR1,THBS1,TM9SF2,TMED9,TMEM41A,TMOD2,TNFAIP8,TNFAIP8L3,TNFSF14,TPST2,TSPAN14,TTR,UNC93B1,UTRN,VEGFA,WDFY2,ZDHHC17",195,ChEA_2022,True,D_only,up
7737,rest 19997604 chip-chip neurons mouse,200,0.0076319827826981795,1.3597396224073646,6.629284890159072,0.028810735004685627,"ABCC10,AIG1,ANGPTL3,APOE,ARL8A,ATP6V0C,BARX1,BAZ1B,BTN2A2,CEBPB,CHPT1,CNTN1,COLEC10,COX6A1,CP,CS,DAD1,DDX3Y,DNAJB11,DSC2,ERGIC3,FABP7,FDFT1,FGB,GALNT1,GNAI1,GNAZ,GOLT1B,GPC3,HEXA,HIC2,KLHL13,LAMP1,LBH,LGALS3BP,LILRB4,LIN28B,LRP1,MFSD1,MSRB2,MYH10,MYH8,NDUFS7,NR2F2,P4HB,PDIA3,PEX26,PKIB,PLXNC1,PZP,RHOT1,RILP,RNF130,SACM1L,SAG,SAMSN1,SCRG1,SERPIND1,SEZ6L2,SLC38A2,SLC7A11,SNRPN,SNTB1,SORL1,SULT1E1,SYVN1,TIMM50,TKTL1,TM9SF2,TMCO1,TMCO3,TMEM30A,TMEM33,TMTC4,TPP1,TSPAN13,TTYH3,UTS2,UXS1,VEGFA,ZDHHC2",81,ChEA_2022,True,D_only,up
7738,runx1 30185409 chip-seq hpc mouse bonemarrow leukemia,201,0.0077810480032223985,1.23316302987448,5.98831889772717,0.029227319614094086,"ABTB1,ACSS2,ADAM8,ADCY9,AFF3,AGRN,AKAP7,ANXA2,ASAH1,ATG9A,ATP1B1,ATP2A3,B2M,BAZ1B,BCL2L11,CARD6,CD180,CD300A,CD68,CD82,CD93,CEBPG,CECR2,CHST11,CLPTM1L,CMPK2,CMTM4,COL2A1,COMP,COX11,COX18,CP,CRELD2,CROT,CSF2RA,CSNK1G3,CYSTM1,DHRS3,DNAJB9,DNAJC30,ECH1,EMILIN2,ENTPD1,EPC1,ERGIC2,ERN1,ESYT1,EXD2,F5,FAM43A,FAR1,FBLN1,FGD2,FMNL1,FN1,GALNT10,GATA2,GGT1,GNAI1,GNAI2,GNAQ,GP1BB,GPR84,GPX3,HDHD3,HEXB,HGFAC,HIC2,HOMER3,HSP90B1,ICAM1,ICAM4,IFI30,IL17RA,IL3RA,IL4I1,IRS2,ISCA1,KDM6B,LAMP1,LDHD,LIMD2,LONP1,LRPAP1,MAP1B,MGRN1,MLEC,MOGS,MOSPD3,MPO,MTFR1L,MXRA8,MYH10,NDUFA13,NDUFA4L2,NDUFB7,NDUFS7,NINJ1,NIPA1,NRP2,OPLAH,P2RX1,P2RX7,P2RY2,P4HB,PDIA4,PEX26,PGAM5,PIEZO1,PLEKHF1,PLP2,PLXNC1,POU3F2,PPIB,PSPC1,PTDSS2,PTPRC,PTTG1IP,R3HDM4,RAB20,RAB31,RAI14,RALB,RAP1B,RAP2B,RBP1,RDH14,REEP6,RFX3,ROGDI,RPL3L,RPN2,RPS4Y2,RUNX3,SACM1L,SDHB,SEC61A1,SEMA4A,SERINC5,SERPINI1,SFXN5,SH2D3C,SLC20A1,SLC25A20,SLC25A4,SLC25A40,SLC2A3,SLC35A1,SLC35B2,SLC3A2,SLCO4A1,SMIM13,SSR1,ST3GAL2,SYNJ2,TAPT1,TCIRG1,TGFBR1,THBS1,TIMM50,TM7SF2,TM7SF3,TMEM251,TMEM30A,TMEM38B,TNFAIP8,TOMM40,TOR1AIP1,TOR1AIP2,TPP1,TPST2,TSPAN14,TTYH3,UTRN,VEGFA,WDFY2,WWC2,XPC,YES1,YIPF2,ZBTB7B,ZDHHC3",182,ChEA_2022,True,D_only,up
7739,sox11 23321250 chip-chip z138-a519-jvm2 human,202,0.007857713769523503,1.4279797092710804,6.920360351625421,0.029369177702922005,"ACSS2,ANXA2,ATP1A2,ATP1B1,B3GALNT2,BLVRA,BMF,CD109,CD302,CD86,COL1A2,COL23A1,CS,CXCR4,DPYS,DSC2,ENAH,ERN1,HIC2,HMGCR,IL4I1,ITGB2,KRT18,LITAF,LMAN2,MARCKS,MOSPD3,MSRB3,MXRA7,MYL2,NCLN,NR2F2,NRN1,ONECUT2,P2RX7,PLAUR,PLD1,RAB5C,RBMY1A1,RELB,RFX3,RILP,SLC35B2,SLC38A2,SLC43A3,SORT1,SPCS2,ST8SIA4,STC2,STIM2,SYNJ2,TDRD7,TNFAIP8,TNFSF14,TOMM40L,TOR3A,TRIM72,UNC13D,ZDHHC17,ZNF74",60,ChEA_2022,True,D_only,up
7740,chd4 35695185 chip-seq nicbasalrootganglia mouse embryo,203,0.007935611723460302,1.2599941369786924,6.093829137690422,0.029514220941933636,"ABHD3,AFDN,AFF3,AGRN,ATP6V0D1,BAZ1A,BAZ1B,CAMK1,CAMSAP3,CBFA2T3,CD82,CECR2,CHST12,CKAP4,CKB,CLPB,CLPTM1L,CRELD1,CTSA,DDAH1,DLX1,DNAJA4,DTD1,ECHDC2,EDEM1,EGFL7,ENAH,ESYT1,EXT1,FABP7,FADS2,FAM210B,FBLN1,FKBP9,FOSL2,FRY,FSTL1,GALC,GALNT10,GALNT2,GNAI1,GNAI2,GNAQ,GOLM1,GRAMD4,HDHD3,HEXA,HOMER3,HSPA13,HTATIP2,IGFBP4,IL3RA,ITPR1,JARID2,KIF21A,LBH,LIMD2,LIN28B,LPCAT3,LRP1,LRRC8C,MAN2A2,MAP1B,MARCKS,MFAP4,MFNG,MGRN1,MLC1,MLYCD,MOSPD3,MSRB3,MTHFD2,MXRA7,MYBL1,MYH10,NCOA1,NDUFA3,NDUFAF3,NDUFB7,NDUFS7,NDUFS8,NECTIN1,NEU1,NIPSNAP3B,NLRX1,NRP1,NT5DC3,NUP210,PADI4,PIEZO1,PLD1,PLEKHF1,PLXNC1,PNKD,PNPLA6,PPM1M,PRDM11,PSPC1,PTDSS2,PTP4A3,PTPRJ,RAB43,RAP1B,RASGRP2,REEP6,RELB,RNASE4,RNF130,ROPN1L,SCAMP5,SCARB1,SEC11A,SEMA4B,SERPINI1,SFXN5,SLC2A3,SLC39A11,SLC3A2,SLC44A1,SNTB1,STIM2,STT3B,STX11,SYNGR1,SYNJ2,TAPBP,TGFBR1,TM7SF3,TMED2,TMEM109,TMEM143,TMEM259,TOMM40,TOR1A,TOR1B,TSPAN13,TSPAN14,TTYH3,UGGT2,UTRN,VLDLR,WWC2,ZDHHC14,ZDHHC17,ZDHHC2",145,ChEA_2022,True,D_only,up
7741,pdx1 19855005 chip-chip min6 mouse,204,0.008053463852380443,1.5515528995875767,7.481049674149762,0.02980571180660409,"ABCC10,ABCD1,ACSS2,ALG14,ATP6V0D1,BLZF1,CCPG1,COX11,CPT1A,CS,CXCR4,DCUN1D3,DHRS3,DNAJB11,ETFDH,GOSR2,GPX3,GRN,HSP90B1,IGFBP4,NDUFS8,NUP210,ORMDL2,PAX6,PCDHGC3,PDK2,PNKD,PRCP,RDH14,RNASE4,SFXN5,SLC25A35,SMPD1,STT3A,SYVN1,TAPBP,THBD,TMEM109,TOMM40,WDFY2",40,ChEA_2022,True,D_only,up
7742,tcf21 26020271 chip-seq hcasmc human coronaryartery,205,0.008110504743402828,1.3508430716186282,6.503762535644372,0.029870395518386026,"ANPEP,ANXA5,ATP13A1,ATP6V0A1,ATP6V0D1,BMF,C3,CARD9,CBFA2T3,CD59,CD63,CD82,CHST11,COL1A1,COL1A2,CP,CPD,DHRS3,DNAJC25,ELANE,ERN1,ESYT1,EXD2,FMNL1,FN1,FNDC3B,FOSL2,GATA2,GRN,GSN,ICAM4,IGF1,LMNA,LRRC8B,MAN2A2,MFAP4,MMP2,MRC2,MRPL34,MXRA8,MYADM,NCEH1,NDRG2,NDUFA4L2,NDUFB7,NINJ1,NRP2,OLFML3,OS9,P4HB,PDIA5,PIGT,PIGX,PLD1,PLXNC1,PRG2,PTGS1,RAB32,RAB37,RAB5B,RAP2B,RER1,RTN4,SERPINI1,SGPP1,SLC43A3,SLC4A2,SLC7A2,SMPD1,STX11,THBD,THBS1,TM9SF2,TMEM104,TMEM143,TMEM45A,TMX4,TNFAIP8L3,TNNT3,TOR1AIP1,VAT1,VEGFA,ZDHHC17",83,ChEA_2022,True,D_only,up
7743,ilf3 29590119 chip-seq k562 human bonemarrow leukemia,206,0.008431920140850192,1.445646295294754,6.904017477902247,0.030903396632727644,"ACSS2,ADAMTSL4,ALDH1A2,ALDH4A1,ARL8B,ATP6V0A2,B3GALNT2,CEBPB,CEBPD,CLPB,CMTM4,CREG1,DPAGT1,FAM8A1,FKBP9,FOSL2,FUCA2,GUSB,ICAM4,IMMT,MAP7,MGRN1,MGST2,MOGS,MTCH2,NAPA,NDUFB2,P2RX4,PDIA4,PGPEP1,PLBD2,PPIB,PTDSS2,RAB43,RAP2B,RBM28,RBM39,RNF130,RPN2,RUBCN,SAMSN1,SEC63,SFXN5,SLC20A1,SLC38A2,SLC8B1,STT3B,SYCP2L,TMEM38B,TMX4,TNFSF9,TOR1A,VKORC1L1,VSIR,ZNF428",55,ChEA_2022,True,D_only,up
7744,tbx2 33478486 chip-seq imr90 human lung,207,0.008764229666606867,1.2439680108100752,5.892771819730289,0.03196615168255162,"ABCD1,ABTB1,ACSS2,ADAM8,ADAMTSL4,ADCK5,AGA,AGRN,AGTRAP,ALS2,ANPEP,ANXA2,ANXA3,ARL8B,ATP13A1,CBFA2T3,CCPG1,CHST3,CIB1,CKAP4,CLCN7,COL1A1,COL6A1,CPT1A,CTCFL,CYBA,CYBRD1,CYP2W1,CYTL1,DDOST,DHRS3,DNAJC5,DPYS,DSC2,DYSF,ECHDC2,EMILIN2,EPC1,ERLIN2,EXOC6B,F10,FES,FGR,FLYWCH1,FUT7,GALNT10,GALNT3,GAS6,GATA2,GOLM1,GRAMD4,GRK6,HCK,HGFAC,HOMER3,HTATIP2,HVCN1,ICAM1,IGF2,IGLL1,IGLL5,IMMT,ITGB2,JPH1,KDM5B,KRT18,KRT8,LMNA,LRP1,LRRC14B,LRRC8B,LSP1,MAFG,MAGEB1,MAN2A2,MAP4K2,MBTPS2,MDK,MFNG,MFSD1,MOSPD2,MPC1,MRC2,MROH1,MTHFD2,MXRA8,MYBL1,MYH10,NADK,NCLN,NDRG2,NDUFS7,NFATC2,NIPSNAP3B,NR5A1,NRN1,NRP1,PAX6,PCGF3,PDIA2,PDIA5,PGPEP1,PIEZO1,PLD1,PLD6,PLP2,PNPLA6,POU3F2,PPIC,PPP1R16B,PRSS57,PTGDS,PTTG1IP,RAB37,RARRES2,RASGRP2,RFX3,RGN,RP2,RPL3L,RUNX3,S100P,SACM1L,SCAMP5,SEMA4B,SH2D3C,SHISA2,SLC12A9,SLC16A3,SLC25A10,SLC38A2,SLC3A2,SLC4A2,SMPD1,SSR1,STC2,SYNGR1,TCIRG1,TDRD7,TESC,THBS1,TKTL1,TLR2,TMC6,TMED2,TMEM106B,TMEM259,TMEM41A,TNNT3,TOR1A,TP53I3,TRPM2,TSPAN14,TTYH3,TWIST1,UNC93B1,VEGFA,ZBTB7B,ZNF74",159,ChEA_2022,True,D_only,up
7745,hoxb4 20404135 chip-chip eml mouse,208,0.008828320927283612,1.338488586297954,6.330770516721903,0.032045107212015034,"ABTB1,ACSL3,ACSS2,AHSG,ALG14,ALS2,ATP6V0A1,ATP6V0D1,BLVRA,BLZF1,BRMS1L,CCPG1,CD68,CEBPD,CEBPE,CLCN7,CLPB,COX6A1,CPD,CREG1,CROT,CS,DAG1,DCUN1D3,DDX3Y,DHRS3,DNAJC5,DPAGT1,ECH1,EGLN2,EPC1,EXT2,FAP,FBP2,FCGR2B,FIP1L1,GALNT1,GLIPR1,GNAI2,GOLT1B,HAX1,HIGD2A,HMGCR,HYOU1,IER3IP1,JAK2,LAMP2,LILRB4,LRPAP1,LRRC8B,MOSPD3,MRPL33,MSRB2,NCLN,NDUFB9,NDUFS7,NEU1,NUCB1,OPA3,OSTM1,PAX6,PECAM1,PLAUR,PRCP,PTPRC,PTPRJ,RAB21,RNASE4,RPN1,RTN4,SAMSN1,SCPEP1,SORT1,SPN,ST3GAL4,SYNJ2,SYVN1,TMED2,TMEM104,TNFRSF12A,TOMM40,TOMM40L,TPP1,TRIM16,UTY,VKORC1L1",86,ChEA_2022,True,D_only,up
7746,tp53 18474530 chip-chip u2os human,209,0.008923737159982079,1.4458764248841594,6.823149343416024,0.032236466774097944,"ADCY9,AFF3,AIG1,ANXA2,AP1S3,ATP1B1,BAIAP2L1,CD109,CD180,CD36,CD83,CD86,CKM,COL1A1,CXCR4,CYP51A1,DCUN1D3,DENND2D,DHRS3,EPHB2,FADS2,FBLN1,FGF2,FOSL2,FRY,GALC,GNAI1,GPC3,IGFBP5,IGFBP7,JPH1,LAMP1,LCAT,MMP2,NCOA1,NDUFB9,NOS1AP,NPL,NRP1,NRP2,ORM1,POSTN,RAP2B,RTN4,RUNX3,SGPP1,SLC12A7,SNTB1,SOD3,SSR1,TGFBI,TM7SF3,TMEM30A,TSPAN14",54,ChEA_2022,True,D_only,up
